6.675194397232076e-9	8.342731949717574e-9	9.43519595786313e-9
6.444111577685874e-9	1.238600078057317e-8	6.216486325705262e-9
6.982302735991652e-9	1.7859110523765764e-8	6.187418466474526e-9
8.020403785558017e-9	3.0186809385490676e-8	9.483993812509084e-9
5.600692021268117e-9	2.8808122554124793e-8	9.484047658325778e-9
7.788926392748863e-9	3.12009008629488e-8	6.187439227645086e-9
6.787531092733445e-9	2.0653517229796137e-8	6.986212941484382e-9
6.982201594674109e-9	1.2832032880716326e-8	6.98619795347355e-9
8.020131669894681e-9	6.359420878787603e-9	1.3169384693867414e-8
8.926943961817813e-9	8.342729174160013e-9	1.237073010695866e-8
